All Causes,Death Count was at minimum on year 2009 at 1.8 million while at maximum on year 2016 with 2 million recorded deaths. 
Alzheimer’s disease,Death caused by Alzheimer’s disease had been continuously rising from 1999 to 2016.
Cancer,Death caused by Cancer had been continuously rising from 1999 to 2016.
CLRD,Death caused by Chronic Lower Respiratory Disease had been continuously rising from 1999 to 2016.
Diabetes,"Death caused by Diabetes shows a figure of an elephant increasing form 1999 to 2005, then decreasing on 2009, and increasing again to 2016 at maximum record of 80,058."
Heart disease,"Deaths caused by Heart disease decreased from 1999 to its minimum at 596,577 on 2011. The count, however, started to rise up again on the succeeding years."
Influenza and pneumonia,"Deaths caused by Influenza and pneumonia shows a jagged pattern, but the general trend is downwards."
Kidney disease,"Deaths caused by Kidney disease had an upward trend with maximum recorded at 50,476 on 2010."
Stroke,"Deaths caused by Stroke had a downward trend with minimum recorded at 128,546 on 2012."
Suicide,"Deaths caused by Suicide had a steep upward trend with year 2016 having a maximum recorded death of 44,965."
Unintentional injuries,"Deaths caused by Unintentional injuries had an upward trend with year 2016 having a maximum recorded death of 161,374."
