All Causes,Death rates per year had been continuously declining over the years.
Alzheimer’s disease,Death rate on Alzheimer’s disease had an upward trend over the years.
Cancer,Death rate on Cancer had a steep downward trend trend over the years.
CLRD,Death rate on Chronic Lower Respiratory Disease  does not show any trend at all.
Diabetes,Death rate on Diabetes had a downward trend over the years.
Heart disease,Death rate on Heart disease had a steep downward trend trend over the years.
Influenza and pneumonia,Similar to its death count chart. Death rate on Influenza and pneumonia had a jagged pattern but the general trend is downwards.
Kidney disease,Death rate on Kidney disease shows an elephant chart with highest recorded death rate on 2010 at 15.42.
Stroke,Death rate on Stroke had a steep downward trend over the years.
Suicide,"Similar to its death count chart, the Death rate trend on Stroke is going upwards."
Unintentional injuries,Deaths rate on Unintentional injuries had an upward trend with year 2016 having a maximum record of 52.36.
