1999,"725,192 people died due to Heart disease making it the top causing death in the United States in 1999."
2000,The same familiar chart can be seen with slight differences as compared to the previous year.
2001,The same familiar chart can be seen with slight differences as compared to the previous year.
2002,The same familiar chart can be seen with slight differences as compared to the previous year.
2003,The same familiar chart can be seen with slight differences as compared to the previous year.
2004,The same familiar chart can be seen with slight differences as compared to the previous year.
2005,The same familiar chart can be seen with slight differences as compared to the previous year.
2006,The same familiar chart can be seen with slight differences as compared to the previous year.
2007,Alzheimer’s disease surpassed Influenza and pneumonia in terms of cumulative death counts since 1999.
2008,The same familiar chart can be seen with slight differences as compared to the previous year.
2009,The same familiar chart can be seen with slight differences as compared to the previous year.
2010,The same familiar chart can be seen with slight differences as compared to the previous year.
2011,The same familiar chart can be seen with slight differences as compared to the previous year.
2012,The same familiar chart can be seen with slight differences as compared to the previous year.
2013,The same familiar chart can be seen with slight differences as compared to the previous year.
2014,The same familiar chart can be seen with slight differences as compared to the previous year.
2015,Alzheimer’s disease surpassed Diabetes in terms of cumulative death counts since 1999.
2016,"Since 1999, 11.5 million people died due to Heart disease making it the leading cause of death in the United States."
